,location,total_sqft,bath,balcony,bhk,price
0,Electronic City Phase II,1056.0,2.0,1.0,2,39.07
1,Chikka Tirupathi,2600.0,5.0,3.0,4,120.0
2,Uttarahalli,1440.0,2.0,3.0,3,62.0
3,Lingadheeranahalli,1521.0,3.0,1.0,3,95.0
4,Kothanur,1200.0,2.0,1.0,2,51.0
5,Whitefield,2785.0,5.0,3.0,4,295.0
6,7th Phase JP Nagar,1000.0,2.0,1.0,2,38.0
7,Gottigere,1100.0,2.0,2.0,2,40.0
8,Sarjapur,2250.0,3.0,2.0,3,148.0
9,Mysore Road,1175.0,2.0,2.0,2,73.5
10,Bisuvanahalli,1180.0,3.0,2.0,3,48.0
11,other,2770.0,4.0,2.0,3,290.0
12,Kengeri,600.0,1.0,1.0,1,15.0
13,Binny Pete,1755.0,3.0,1.0,3,122.0
14,Thanisandra,2800.0,5.0,2.0,4,380.0
15,Bellandur,1767.0,3.0,1.0,3,103.0
16,other,510.0,1.0,0.0,1,25.25
17,Whitefield,1610.0,3.0,2.0,3,81.0
18,Ramagondanahalli,1151.0,2.0,2.0,2,48.77
19,Electronic City,1025.0,2.0,1.0,3,47.0
20,Yelahanka,2475.0,4.0,0.0,4,186.0
21,Hebbal,1760.0,2.0,2.0,3,123.0
22,Kundalahalli,1724.0,3.0,2.0,3,125.0
23,Uttarahalli,1143.0,2.0,2.0,2,45.0
24,other,600.0,1.0,0.0,1,38.0
25,Yelahanka,660.0,1.0,0.0,1,48.0
26,Kanakpura Road,1330.74,2.0,2.0,2,91.79
27,Doddathoguru,970.0,2.0,0.0,2,33.0
28,Whitefield,1459.0,2.0,1.0,2,94.82
29,KR Puram,800.0,1.0,1.0,2,130.0
30,Lakshminarayana Pura,1185.0,2.0,2.0,2,75.0
31,Begur Road,1200.0,2.0,2.0,2,44.0
32,other,1500.0,2.0,2.0,2,185.0
33,other,845.0,2.0,1.0,2,55.0
34,Whitefield,5700.0,5.0,3.0,4,650.0
35,Varthur,1160.0,2.0,2.0,2,44.0
36,Bommanahalli,3000.0,8.0,0.0,8,140.0
37,Doddathoguru,1100.0,2.0,1.0,2,62.0
38,Gunjur,1140.0,2.0,3.0,2,43.0
39,Marathahalli,1220.0,2.0,1.0,2,57.0
40,Begur Road,1358.0,2.0,1.0,2,80.58
41,Hegde Nagar,1569.0,3.0,1.0,3,101.0
42,Haralur Road,1240.0,2.0,1.0,2,70.0
43,Hennur Road,2089.0,3.0,2.0,3,140.0
44,Kothannur,1206.0,2.0,1.0,2,48.23
45,Kalena Agrahara,1150.0,2.0,3.0,2,40.0
46,other,2511.0,3.0,3.0,3,205.0
47,ISRO Layout,4400.0,6.0,3.0,6,250.0
48,other,1660.0,2.0,2.0,3,105.0
49,Yelahanka,1326.0,2.0,2.0,2,78.0
50,Garudachar Palya,1325.0,2.0,2.0,3,60.8
51,Hegde Nagar,3000.0,7.0,2.0,6,210.0
52,Dasanapura,708.0,2.0,2.0,2,37.0
53,Kasavanhalli,1060.0,2.0,2.0,2,58.06
54,Sanjay nagar,1000.0,2.0,2.0,2,70.0
55,ISRO Layout,1200.0,4.0,2.0,4,155.0
56,Thanisandra,1296.0,2.0,3.0,2,80.0
57,Domlur,1540.0,3.0,2.0,3,90.0
58,Kengeri,2894.0,4.0,1.0,4,245.0
59,Sarjapura - Attibele Road,1330.0,2.0,1.0,3,48.0
60,other,1200.0,3.0,1.0,3,90.0
61,Chandapura,650.0,1.0,1.0,2,17.0
62,Kothanur,2400.0,2.0,1.0,3,150.0
63,Rajaji Nagar,1640.0,3.0,2.0,3,229.0
64,other,782.0,2.0,2.0,2,55.68
65,Devanahalli,1260.0,2.0,2.0,2,66.78
66,other,1800.0,3.0,3.0,3,120.0
67,Ramamurthy Nagar,3700.0,4.0,1.0,4,225.0
68,Sarjapur  Road,2497.0,3.0,2.0,3,140.0
69,Thanisandra,1436.0,3.0,1.0,3,74.75
70,Malleshwaram,1100.0,2.0,2.0,2,75.0
71,Thanisandra,1427.0,3.0,2.0,3,120.0
72,Akshaya Nagar,2061.0,3.0,1.0,3,200.0
73,Hebbal,5611.5,4.0,0.0,4,477.0
74,Shampura,2650.0,4.0,2.0,4,150.0
75,Devanahalli,1282.0,2.0,2.0,3,68.52
76,Kadugodi,1050.0,2.0,1.0,2,34.0
77,Hormavu,1500.0,2.0,1.0,2,78.0
78,other,1870.0,3.0,3.0,3,110.0
79,Sarjapur,1600.0,3.0,1.0,3,75.0
80,other,1200.0,4.0,0.0,4,210.0
81,Kudlu Gate,1535.0,3.0,2.0,3,83.0
82,Kanakpura Road,950.0,2.0,1.0,2,57.0
83,8th Phase JP Nagar,1073.5,2.0,0.0,2,54.005
84,Bommasandra Industrial Area,1280.0,3.0,1.0,3,50.4
85,other,1260.0,2.0,2.0,3,85.05
86,Kasavanhalli,1563.05,3.0,1.0,3,105.0
87,ISRO Layout,1000.0,2.0,1.0,2,60.0
88,Anandapura,1167.0,2.0,1.0,2,43.76
89,Vishveshwarya Layout,4000.0,7.0,2.0,7,225.0
90,Kengeri Satellite Town,890.0,2.0,1.0,2,35.0
91,Kannamangala,957.0,2.0,1.0,2,58.0
92,Hulimavu,1125.0,2.0,2.0,2,50.0
93,Electronic City Phase II,1020.0,2.0,1.0,2,30.6
94,Kalena Agrahara,1200.0,2.0,2.0,2,50.0
95,Thanisandra,1735.0,3.0,3.0,3,135.0
96,Thanisandra,2050.0,3.0,1.0,3,145.0
97,Mahalakshmi Layout,3750.0,4.0,0.0,4,760.0
98,Hosa Road,1063.0,2.0,1.0,2,32.0
99,other,1904.0,3.0,1.0,3,150.0
100,Whitefield,4200.0,4.0,2.0,4,420.0
101,other,2000.0,3.0,1.0,3,175.0
102,Sarjapur,1242.5,2.0,0.0,2,43.49
103,Electronic City,1500.0,2.0,1.0,3,64.5
104,Electronic City,1060.0,2.0,1.0,2,60.0
105,Attibele,450.0,1.0,1.0,1,11.0
106,Electronic City,1152.0,2.0,1.0,2,64.5
